name,website,domain,industry,country,state,city,employee_count,annual_revenue,description,atomus_score,defense_contract_score,technology_relevance_score,compliance_indicators_score,tier_classification,last_research_date,next_review_date,research_summary,contract_history,technology_keywords_found,cage_code,duns_number,hubspot_id,created_date,updated_date,data_source,validation_status
Firestorm,https://firestorm.com,firestorm.com,Defense Manufacturing,United States,CA,San Diego,245,25000000,Advanced defense manufacturing specializing in hypersonic systems and propulsion technologies,,,,,,,,,,,,,,2025-01-15T10:00:00Z,2025-01-15T10:00:00Z,manual,pending
Firehawk,https://firehawk.com,firehawk.com,Aerospace Engineering,United States,TX,Austin,180,18000000,Aerospace engineering services focusing on UAV and drone technologies for defense applications,,,,,,,,,,,,,,2025-01-15T10:01:00Z,2025-01-15T10:01:00Z,manual,pending
Overland AI,https://overland.ai,overland.ai,Autonomous Systems,United States,WA,Seattle,95,12000000,Autonomous vehicle systems and AI for military ground vehicles and UXS platforms,,,,,,,,,,,,,,2025-01-15T10:02:00Z,2025-01-15T10:02:00Z,manual,pending
Kform,https://kform.com,kform.com,Advanced Materials,United States,MA,Boston,67,8500000,Advanced materials and manufacturing for aerospace and defense applications,,,,,,,,,,,,,,2025-01-15T10:03:00Z,2025-01-15T10:03:00Z,manual,pending
American Maglev Technologies,https://americanmaglev.com,americanmaglev.com,Transportation Technology,United States,GA,Atlanta,156,22000000,Magnetic levitation transportation systems with defense and infrastructure applications,,,,,,,,,,,,,,2025-01-15T10:04:00Z,2025-01-15T10:04:00Z,manual,pending
Matsys,https://matsys.com,matsys.com,Engineering Services,United States,VA,Virginia Beach,203,35000000,Engineering services and manufacturing for nuclear and defense applications,,,,,,,,,,,,,,2025-01-15T10:05:00Z,2025-01-15T10:05:00Z,manual,pending
H3X,https://h3x.tech,h3x.tech,Electric Propulsion,United States,CO,Boulder,78,6800000,Electric aircraft propulsion systems and high-power density electric motors,,,,,,,,,,,,,,2025-01-15T10:06:00Z,2025-01-15T10:06:00Z,manual,pending
Compass Technologies Group,https://compasstech.com,compasstech.com,Defense Technology,United States,FL,Tampa,312,45000000,Defense technology solutions and cybersecurity services for government contractors,,,,,,,,,,,,,,2025-01-15T10:07:00Z,2025-01-15T10:07:00Z,manual,pending
Martian Sky,https://martiansky.com,martiansky.com,Space Technology,United States,CA,Los Angeles,134,16000000,Space technology and satellite systems for defense and commercial applications,,,,,,,,,,,,,,2025-01-15T10:08:00Z,2025-01-15T10:08:00Z,manual,pending
Orbital Composites,https://orbitalcomposites.com,orbitalcomposites.com,Aerospace Manufacturing,United States,NV,Las Vegas,89,11000000,Composite materials and manufacturing for aerospace and defense applications,,,,,,,,,,,,,,2025-01-15T10:09:00Z,2025-01-15T10:09:00Z,manual,pending
Hybron Technologies,https://hybron.tech,hybron.tech,Electronic Warfare,United States,MD,Baltimore,167,28000000,Electronic warfare systems and RF technologies for defense applications,,,,,,,,,,,,,,2025-01-15T10:10:00Z,2025-01-15T10:10:00Z,manual,pending
Image Insight,https://imageinsight.com,imageinsight.com,Computer Vision,United States,NY,Rochester,112,14000000,Computer vision and imaging technologies for defense and surveillance applications,,,,,,,,,,,,,,2025-01-15T10:11:00Z,2025-01-15T10:11:00Z,manual,pending
Force Engineering,https://forceeng.com,forceeng.com,Defense Engineering,United States,OH,Dayton,234,32000000,Defense engineering services and manufacturing for military and aerospace applications,,,,,,,,,,,,,,2025-01-15T10:12:00Z,2025-01-15T10:12:00Z,manual,pending
